IndustryCode;interno;importado;ano;traded
C22;8,58921464719520e-01;1,41078535280480e-01;2018;TRUE
C23;9,06347685626840e-01;9,36523143731603e-02;2018;FALSE
C24;9,40981427908501e-01;5,90185720914987e-02;2018;FALSE
C25;9,50042783593703e-01;4,99572164062967e-02;2018;FALSE
C26;8,55926532824334e-01;1,44073467175666e-01;2018;TRUE
C27;9,28996885748502e-01;7,10031142514978e-02;2018;FALSE
C28;9,29282799106585e-01;7,07172008934146e-02;2018;FALSE
C29;9,13684965702489e-01;8,63150342975107e-02;2018;FALSE
C30;9,63315176975923e-01;3,66848230240774e-02;2018;FALSE
C31;9,08200963337463e-01;9,17990366625366e-02;2018;FALSE
C33;5,94969001794237e-18;1,00000000000000e+00;2018;TRUE
D35;9,92961200236843e-01;7,03879976315665e-03;2018;FALSE
E36;9,99700153545483e-01;2,99846454516994e-04;2018;FALSE
E37;7,96888783806888e-18;1,00000000000000e+00;2018;TRUE
F;9,57846390629651e-01;4,21536093703486e-02;2018;FALSE
G45;9,96318477053622e-01;3,68152294637822e-03;2018;FALSE
G46;9,80733235465156e-01;1,92667645348445e-02;2018;FALSE
G47;9,93862817240798e-01;6,13718275920198e-03;2018;FALSE
H49;9,92292000510871e-01;7,70799948912868e-03;2018;FALSE
H50;9,82909346529528e-01;1,70906534704715e-02;2018;FALSE
H51;7,59522765770994e-01;2,40477234229006e-01;2018;TRUE
H52;9,35381060993584e-01;6,46189390064162e-02;2018;FALSE
H53;3,29104588152347e-18;1,00000000000000e+00;2018;TRUE
I;9,49003243608430e-01;5,09967563915700e-02;2018;FALSE
J58;9,37864193378862e-01;6,21358066211380e-02;2018;FALSE
J59;5,86874313679146e-02;9,41312568632085e-01;2018;TRUE
J61;9,97627906578022e-01;2,37209342197824e-03;2018;FALSE
J62;7,37582085060863e-01;2,62417914939137e-01;2018;TRUE
K64;9,79981102406305e-01;2,00188975936952e-02;2018;FALSE
K65;3,19672448713684e-18;1,00000000000000e+00;2018;TRUE
K66;4,25805339478143e-18;1,00000000000000e+00;2018;TRUE
L68;9,97221186279237e-01;2,77881372076331e-03;2018;FALSE
M69;9,34251407333668e-01;6,57485926663320e-02;2018;FALSE
M71;9,85037457576663e-01;1,49625424233368e-02;2018;FALSE
M72;6,28026947337886e-01;3,71973052662114e-01;2018;TRUE
M73;3,62411543298666e-18;1,00000000000000e+00;2018;TRUE
M74;1,36310851410468e-17;1,00000000000000e+00;2018;TRUE
N;8,77169749275565e-01;1,22830250724435e-01;2018;TRUE
O84;9,66285366155507e-01;3,37146338444934e-02;2018;FALSE
P85;9,97672805257706e-01;2,32719474229394e-03;2018;FALSE
Q;9,99223467855579e-01;7,76532144420946e-04;2018;FALSE
R_S;9,71151259892488e-01;2,88487401075122e-02;2018;FALSE
T;9,99990478392072e-01;9,52160792838019e-06;2018;FALSE
U;5,00000000000000e-01;5,00000000000000e-01;2018;TRUE
